id;documento
1;"Law & Order: SVU tem showrunner mulher pela primeira vez: ""Menos tóxico"" Michele Fazekas comandou a 27ª temporada da série"
2;Colman Domingo fala sobre importância dos figurinos para seus personagens O ator comparou suas vestimentas em séries recentes
3;O Vampiro Lestat | 2º episódio ganha pôster inédito com estética retrô A temporada chega ao canal AMC Brasil em agosto, mas não tem previsão de chegar ao streaming
4;X-Men '97 | Veja novo pôster e vídeo com mutantes que estarão na 2ª temporada A nova temporada chega ao Disney+ em 1º de julho
5;Criador de Gravity Falls critica aquisição da Warner Bros. pela Paramount A compra foi liberada pelo Departamento de Justiça americano
6;"The Pitt | Atriz revela que série vai abordar tema ""bastante pessoal"" para ela Fiona Dourif comentou que a produção vai abordar um tema importante"
7;"Euphoria | Zendaya brigou com Sam Levinson quando soube final de Rue Levinson ter sido uma ""conversa difícil"""
8;Delphi | Ator de Pinguim entra para o elenco de série derivada de Creed Série será lançada no Prime Video
9;"Cabo do Medo tem participação especial de atriz do filme original; saiba tudo Filha de Martin Scorsese também aparece na nova série do Apple TV"
10;"Spider-Noir | Equipe fala sobre o ""desafio dobrado"" na pós-produção da série. Com duas versões distintas, Spider-Noir deu muito trabalho para a equipe da série"
11; A Namorada Ideal vai ganhar 2ª temporada no Prime Video, em formato de antologia. Novos episódios contarão uma história independente
12;Animações independentes estão redefinindo gosto do público, aponta relatório. 67% dos fãs de animação no Brasil concordam que gostam de assistir séries animadas criadas por animadores independentes para o YouTube
13;"Doctor Who deve ficar fora do ar ""pelo menos até 2028"", prevêem produtores. BBC anunciou ontem o cancelamento do especial de Natal da série"
14;"Doctor Who | Especial de Natal é cancelado, e série vai ""a leilão"" pela BBC. Russell T. Davies se despediu da série nas redes sociais, confirmando que não será mais showrunner"
15;Parceiras no Crime | Série de ação com Octavia Spencer ganha trailer e data. Série será lançada no Prime Video
16;"Elle | Série de Legalmente Loira revela trailer novo. Série será lançada no Prime Video; veja data"
17;Batman: Parte 2 | Rumor aponta Sebastian Stan como Victor Zsasz. Papel de Brian Tyree Henry também foi definido, segundo insider
18;A Lenda de Aang: O Último Mestre do Ar | Vazamento liga alerta na Paramount. Estúdio teme novo vazamento
19;Game of Thrones | Kit Harington precisou de reabilitação no fim da série. Pressão e muitos compromissos durante estreia da temporada final fizeram ator buscar ajuda
20;"Homem-Aranha mutante ganha imagem assustadora em versão live-action; veja. Personagem tem uma versão inédita mostrada na série Spider-Noir, do Prime Vídeo"
21;O Auto da Compadecida | Omelete lança série documental original sobre bastidores. Produção conta influências e histórias por trás do fenômeno da cultura pop brasileira e será exibida na Samsung TV Plus
22;" God of War: Laufey terá várias mitologias, incluindo egípcia e mongol; Jogo contará com várias entidades de outras mitologias, incluindo egípcia e mongol"
23;The Last of Us | Peter Sarsgaard se junta ao elenco da 3ª temporada. Ator interpretará Amon, líder dos Serafitas, em papel inédito
24;Tomb Raider Legacy of Atlantis | Lara Croft luta contra velociraptor em gameplay. Em vídeo, Lara Croft aparece lutando contra vários dinossauros
25;Digimon Story Time Stranger ganha demonstração no Nintendo Switch. Jogo chega ao Nintendo Switch e ao Switch 2 em julho
26;Resident Evil Veronica | Produtor explica mudança no título. Game é remake de Code Veronica
27;Jujutsu Kaisen ganhará game por estúdio de Vampire Survivors, veja trailer. Novo jogo foi anunciado para Nintendo Switch 2
28;Novo Uncharted está em desenvolvimento, diz jornalista. Em conversa sobre o Xbox Games Showcase, Jordan  
29;Castlevania: Belmont's Curse | Jogo ganha novo trailer e data de lançamento. O jogo será disponibilizado para Xbox e PC
30;1666 Amsterdam | Jogo de bruxas feito por criador de Assassin's Creed é revelado. Título recebeu seu primeiro trailer durante o Summer Game Fest
